Page_Type,URL_Slug,Page_Title,Target_Keyword,Priority,Word_Count,Content_Format,Parent_Page
Homepage,/,"Commercial Cleaning Dallas | Commercial Cleaning Services of Dallas","commercial cleaning dallas",P0,1500-2000,Homepage N/A,
About,/about,"About Us | Commercial Cleaning Services of Dallas","about commercial cleaning dallas",P1,1200-1500,About Page,
Contact,/contact,"Contact Us | Get a Free Quote | Commercial Cleaning Services of Dallas","contact commercial cleaning dallas",P0,500-800,Contact Page,
Service-Sitemap,/services,"All Commercial Cleaning Services Dallas | Complete Service List","commercial cleaning services dallas list",P1,800-1000,Service Index,
Location-Sitemap,/locations,"Dallas Service Areas | All Locations | Commercial Cleaning Services of Dallas","commercial cleaning dallas service areas",P1,600-800,Location Index,
Service,/services/janitorial-services,"Janitorial Services Dallas | Recurring Commercial Cleaning","janitorial services dallas",P0,1800-2200,Service Page,
Service,/services/comprehensive-cleaning,"Comprehensive Cleaning Dallas | Complete Facility Services","comprehensive cleaning dallas",P1,1500-2000,Service Page,
Service,/services/project-based-cleaning,"Project-Based Cleaning Dallas | One-Time Cleaning Services","project based cleaning dallas",P1,1500-2000,Service Page,
Service,/services/disinfection-cleaning,"Disinfection Cleaning Dallas | Commercial Sanitization Services","disinfection cleaning dallas",P1,1500-2000,Service Page,
Service,/services/specialty-cleaning,"Specialty Cleaning Dallas | Custom Commercial Cleaning","specialty cleaning dallas",P1,1500-2000,Service Page,
Service,/services/construction-cleanup,"Construction Cleanup Dallas | Post-Construction Cleaning","construction cleanup dallas",P1,1500-2000,Service Page,
Service,/services/healthcare-environmental,"Healthcare Environmental Services Dallas | Medical Facility Cleaning","healthcare environmental services dallas",P1,1800-2200,Service Page,
Service,/services/office-building-cleaning,"Office Building Cleaning Dallas | Corporate Cleaning Services","office building cleaning dallas",P1,1800-2200,Service Page,
Service,/services/industrial-cleaning,"Industrial Cleaning Dallas | Manufacturing Facility Services","industrial cleaning dallas",P1,1500-2000,Service Page,
Service,/services/hospitality-cleaning,"Hospitality Cleaning Dallas | Hotel & Lodging Services","hospitality cleaning dallas",P1,1500-2000,Service Page,
Service,/services/education-cleaning,"Education Cleaning Dallas | School & University Cleaning","education cleaning dallas",P1,1500-2000,Service Page,
Service,/services/religious-building-cleaning,"Religious Building Cleaning Dallas | Church & Temple Cleaning","religious building cleaning dallas",P1,1200-1500,Service Page,
Service,/services/government-building-cleaning,"Government Building Cleaning Dallas | Public Facility Services","government building cleaning dallas",P1,1500-2000,Service Page,
Service,/services/event-center-cleaning,"Event Center Cleaning Dallas | Venue & Convention Services","event center cleaning dallas",P1,1500-2000,Service Page,
Service,/services/recreation-shopping-cleaning,"Recreation & Shopping Cleaning Dallas | Retail & Entertainment","recreation and shopping cleaning dallas",P1,1500-2000,Service Page,
Service,/services/banks-financial-cleaning,"Banks & Financial Institutions Cleaning Dallas | Financial Facility Cleaning","banks and financial institutions cleaning dallas",P1,1200-1500,Service Page,
Service,/services/residential-floor-cleaning,"Residential Floor Cleaning Dallas | Home Floor Care Services","residential floor cleaning dallas",P1,1200-1500,Service Page,
Service,/services/car-dealership-cleaning,"Car Dealership Cleaning Dallas | Showroom & Service Center Cleaning","car dealership cleaning dallas",P1,1200-1500,Service Page,
Location,/locations/dallas-tx,"Commercial Cleaning Dallas TX | Main City Location","commercial cleaning dallas tx",P0,1200-1500,Location Page,
Location,/locations/highland-park-tx,"Commercial Cleaning Highland Park TX | Dallas County Services","commercial cleaning highland park tx",P1,1200-1500,Location Page,
Location,/locations/university-park-tx,"Commercial Cleaning University Park TX | Dallas County Services","commercial cleaning university park tx",P1,1200-1500,Location Page,
Location,/locations/farmers-branch-tx,"Commercial Cleaning Farmers Branch TX | Dallas County","commercial cleaning farmers branch tx",P1,1200-1500,Location Page,
Location,/locations/irving-tx,"Commercial Cleaning Irving TX | Dallas County Services","commercial cleaning irving tx",P1,1200-1500,Location Page,
Location,/locations/garland-tx,"Commercial Cleaning Garland TX | Dallas Suburbs","commercial cleaning garland tx",P1,1200-1500,Location Page,
Location,/locations/richardson-tx,"Commercial Cleaning Richardson TX | Collin County","commercial cleaning richardson tx",P1,1200-1500,Location Page,
Location,/locations/mesquite-tx,"Commercial Cleaning Mesquite TX | Dallas County","commercial cleaning mesquite tx",P1,1200-1500,Location Page,
Location,/locations/carrollton-tx,"Commercial Cleaning Carrollton TX | Dallas North","commercial cleaning carrollton tx",P1,1200-1500,Location Page,
Location,/locations/addison-tx,"Commercial Cleaning Addison TX | Dallas County","commercial cleaning addison tx",P1,1200-1500,Location Page,
Location,/locations/plano-tx,"Commercial Cleaning Plano TX | Collin County Services","commercial cleaning plano tx",P1,1200-1500,Location Page,
Location,/locations/the-colony-tx,"Commercial Cleaning The Colony TX | Denton County","commercial cleaning the colony tx",P1,1200-1500,Location Page,
Location,/locations/frisco-tx,"Commercial Cleaning Frisco TX | Collin County Services","commercial cleaning frisco tx",P1,1200-1500,Location Page,
